표 1
행정구역,지하수함양량 (천m³/년),지하수개발가능량 (천m³/년),개발가능량/함양량비 (%),
강원특별자치도,"3,182,222.96","2,263,659.11",71.13,
경상북도,"3,354,179.35","2,196,456.61",65.48,
전라남도,"2,282,193.29","1,523,179.57",66.74,
경상남도,"2,130,290.56","1,342,938.99",63.04,
경기도,"1,971,850.17","1,325,656.49",67.23,
전북특별자치도,"1,515,384.94","1,008,124.57",66.53,
충청남도,"1,519,976.76","1,006,129.76",66.19,
충청북도,"1,300,549.84","893,669.85",68.71,
제주특별자치도,"1,676,000","730,400",43.58,
울산광역시,"238,334.38","149,419.69",62.69,
인천광역시,"205,526.27","129,036.84",62.78,
부산광역시,"146,817.19","97,553.03",66.45,
대구광역시,"132,309.86","84,742.87",64.05,
대전광역시,"107,116.84","69,842.04",65.2,
광주광역시,"86,451.64","57,818.55",66.88,
세종특별자치시,"84,189.18","56,314.99",66.89,
서울특별시,"85,471.64","54,095.30",63.29,
