상호명,메뉴,전화번호,비고,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호,행정동코드,행정동명,법정동코드,법정동명
보돌미역,"미역국, 석쇠돼지불고기정식 등",031-221-6971,경기 수원시 영통구 센트럴파크로127번길 80-5,경기 수원시 영통구 센트럴파크로127번길 80-5,127.0512631,37.2941906,정좌표,4.11171E+18,새주소,경기도 수원시 영통구 센트럴파크로127번길 80-5,경기도 수원시 영통구 이의동 1307-1,16506,4111760000,광교1동,4111710300,이의동
갠지스,인도음식,031-211-9575,경기 수원시 영통구 센트럴파크로127번길 66,경기 수원시 영통구 센트럴파크로127번길 66,127.0528381,37.2945096,정좌표,4.11171E+18,새주소,경기도 수원시 영통구 센트럴파크로127번길 66,경기도 수원시 영통구 이의동 1306-4,16506,4111760000,광교1동,4111710300,이의동
몽까이,베트남음식,031-215-3636,경기 수원시 영통구 센트럴파크로127번길 105-3,경기 수원시 영통구 센트럴파크로127번길 105-3,127.0532369,37.2941884,정좌표,4.11171E+18,새주소,경기도 수원시 영통구 센트럴파크로127번길 105-3,경기도 수원시 영통구 이의동 1310-7,16506,4111760000,광교1동,4111710300,이의동
장성생고기김치찌개,"생고기김치찌개, 삼겹살",031-214-5654,하동 1017-4,하동 1017-4,127.751331,35.067311,시군구 좌표,48850,판별불가,,경상남도 하동군,NULL,,,,
이춘복참치,참치회,031-216-4558,이의동 1351-6,이의동 1351-6,127.0478219,37.2907118,정좌표,4.11171E+18,구주소,경기도 수원시 영통구 도청로 95,경기도 수원시 영통구 이의동 1351-6,16509,4111760000,광교1동,4111710300,이의동
강조손칼국수,"칼국수, 콩국수",0507-1372-4776,경기 수원시 영통구 도청로 95 유니코어 배타동 1층 강조손칼국수,경기 수원시 영통구 도청로 95 유니코어 배타동 1층 강조손칼국수,127.0478219,37.2907118,정좌표,4.11171E+18,새주소,경기도 수원시 영통구 도청로 95,경기도 수원시 영통구 이의동 1351-6,16509,4111760000,광교1동,4111710300,이의동
안동국시 서빈,"국밥, 멍게비빔밥",0507-1370-0660,경기 수원시 영통구 센트럴파크로127번길 109,경기 수원시 영통구 센트럴파크로127번길 109,127.0532745,37.2938913,정좌표,4.11171E+18,새주소,경기도 수원시 영통구 센트럴파크로127번길 109,경기도 수원시 영통구 이의동 1310-5,16506,4111760000,광교1동,4111710300,이의동
비스트로분당김치찜,"김치찜, 차돌된장",031-212-7321,경기 수원시 영통구 센트럴타운로 85,경기 수원시 영통구 센트럴타운로 85,127.0505974,37.290626,정좌표,4.11171E+18,새주소,경기도 수원시 영통구 센트럴타운로 85,경기도 수원시 영통구 이의동 1332,16507,4111760000,광교1동,4111710300,이의동
명헌,"탄탄멘, 딤섬 등",031-217-0126,경기 수원시 영통구 센트럴타운로100번길 14 명헌,경기 수원시 영통구 센트럴타운로100번길 14 명헌,127.051082,37.2924501,정좌표,4.11171E+18,새주소,경기도 수원시 영통구 센트럴타운로100번길 14,경기도 수원시 영통구 이의동 1325-2,16505,4111760000,광교1동,4111710300,이의동
하태우노란황태,"황태해장국, 황태정식, 냉면",031-211-7087,경기 수원시 영통구 센트럴파크로127번길 33,경기 수원시 영통구 센트럴파크로127번길 33,127.0546514,37.2947133,정좌표,4.11171E+18,새주소,경기도 수원시 영통구 센트럴파크로127번길 33,경기도 수원시 영통구 이의동 1313-1,16506,4111760000,광교1동,4111710300,이의동
